# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-5.276778898453e-02 3.862932663099e-04 1.157176394478e+06 1.160074632541e+06 -3.002562531502e+07 9.822082819732e+09 2.277356822400e-06
-4.768574564272e-02 4.623605122864e-04 1.149311496558e+06 1.159881776926e+06 -2.729474519907e+07 1.133964301681e+10 4.436163311168e-06
-4.342959321997e-02 7.292213653528e-04 1.152129090687e+06 1.159641447141e+06 -2.538391733976e+07 1.684521066735e+10 7.402823039524e-06
-3.954923217970e-02 1.088767786010e-03 1.152127223464e+06 1.159289331691e+06 -2.336354500781e+07 2.377828760885e+10 1.140893396571e-05
-3.607061185101e-02 1.564181389308e-03 1.152501810633e+06 1.158796506258e+06 -2.151412431947e+07 3.248845452968e+10 1.648927894163e-05
-3.305338072584e-02 2.157655099539e-03 1.152549783989e+06 1.158151135789e+06 -1.989858509339e+07 4.284455126541e+10 2.256441958288e-05
-3.043936833804e-02 2.863058871430e-03 1.152273490836e+06 1.157352671906e+06 -1.849950688351e+07 5.462337123611e+10 2.957001947286e-05
-2.815959390233e-02 3.673224089782e-03 1.151733710772e+06 1.156401891238e+06 -1.728338643125e+07 6.762692778487e+10 3.739257509600e-05
-2.618013697510e-02 4.573393009929e-03 1.150973094532e+06 1.155313417935e+06 -1.622660423412e+07 8.156896521046e+10 4.583886611890e-05
-2.446592882497e-02 5.543201746749e-03 1.150031012789e+06 1.154108857502e+06 -1.530946207739e+07 9.611363901197e+10 5.471593354335e-05
-2.297727053436e-02 6.564174217627e-03 1.148946449743e+06 1.152812583575e+06 -1.451123478684e+07 1.109864839496e+11 6.387482872421e-05
-2.167535841133e-02 7.622858392883e-03 1.147750806844e+06 1.151441945729e+06 -1.381171962152e+07 1.260065356873e+11 7.321999179491e-05
-2.052539157006e-02 8.711220360833e-03 1.146465437977e+06 1.150009823158e+06 -1.319277162266e+07 1.410785653946e+11 8.270424813791e-05
-1.949787788618e-02 9.825931809088e-03 1.145102800976e+06 1.148521253800e+06 -1.263893637106e+07 1.561737838160e+11 9.231690624548e-05
-1.856880194694e-02 1.096713784646e-02 1.143668590751e+06 1.146977814143e+06 -1.213754949272e+07 1.713073899773e+11 1.020705556403e-04
-1.771917326308e-02 1.213715296680e-02 1.142163938240e+06 1.145376530551e+06 -1.167853297168e+07 1.865183342836e+11 1.119896553626e-04
-1.693430005849e-02 1.333935932780e-02 1.140587280980e+06 1.143713950304e+06 -1.125404669519e+07 2.018539546757e+11 1.221020932318e-04
-1.620299281983e-02 1.457740323608e-02 1.138935742063e+06 1.141984565642e+06 -1.085809143663e+07 2.173598108028e+11 1.324337812084e-04
-1.551680644740e-02 1.585467884819e-02 1.137206055582e+06 1.140184450417e+06 -1.048611915906e+07 2.330738855524e+11 1.430058345573e-04
-1.486937345735e-02 1.717406339013e-02 1.135395143328e+06 1.138309095537e+06 -1.013468532976e+07 2.490242452352e+11 1.538337112798e-04
-1.425584956417e-02 1.853786781413e-02 1.133500401220e+06 1.136355480225e+06 -9.801161475723e+06 2.652293890086e+11 1.649276814801e-04
-1.367247526910e-02 1.994794652819e-02 1.131519721400e+06 1.134320767369e+06 -9.483509796134e+06 2.817003589846e+11 1.762940564840e-04
-1.311624604781e-02 2.140588069946e-02 1.129451311625e+06 1.132202630964e+06 -9.180110594986e+06 2.984434399445e+11 1.879366986771e-04
-1.258467679386e-02 2.291314922562e-02 1.127293429831e+06 1.129998898592e+06 -8.889631686766e+06 3.154624146157e+11 1.998584491135e-04
-1.207564265288e-02 2.447124168023e-02 1.125044155480e+06 1.127707392922e+06 -8.610933324159e+06 3.327599282153e+11 2.120622454298e-04
-1.158727776721e-02 2.608172128000e-02 1.122701263981e+06 1.125325390397e+06 -8.343005789423e+06 3.503381732997e+11 2.245518390656e-04
-1.111791493992e-02 2.774627832084e-02 1.120262200526e+06 1.122850514200e+06 -8.084936240247e+06 3.681994325514e+11 2.373321331797e-04
-1.066605193891e-02 2.946681153239e-02 1.117724102430e+06 1.120279009436e+06 -7.835898020079e+06 3.863469061710e+11 2.504092330439e-04
-1.023033333987e-02 3.124554263617e-02 1.115083805319e+06 1.117608050059e+06 -7.595152186364e+06 4.047858317434e+11 2.637903248038e-04
-9.809539897135e-03 3.308512606111e-02 1.112337790553e+06 1.114833072621e+06 -7.362049724822e+06 4.235244217132e+11 2.774834836668e-04
-9.402580177453e-03 3.498868997050e-02 1.109482083676e+06 1.111950499252e+06 -7.136025538828e+06 4.425739261112e+11 2.914974745206e-04
-9.008481562819e-03 3.695976478056e-02 1.106512167277e+06 1.108955239050e+06 -6.916582023617e+06 4.619474445184e+11 3.058415673931e-04
-8.626379735828e-03 3.900212043914e-02 1.103422978147e+06 1.105842787976e+06 -6.703267847267e+06 4.816578627642e+11 3.205253653662e-04
-8.255507221537e-03 4.111960034471e-02 1.100209005885e+06 1.102607481912e+06 -6.495661424195e+06 5.017159432726e+11 3.355586404737e-04
