# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-5.655956980968e-02 3.263080218585e-04 1.188487207416e+06 1.187705104572e+06 -3.198659060874e+07 8.865977641770e+09 1.974677256712e-06
-5.098901817082e-02 3.847026412811e-04 1.187221938124e+06 1.187522436048e+06 -2.895976823930e+07 1.019704306824e+10 3.921201459709e-06
-4.643993976757e-02 6.106889501818e-04 1.187056211900e+06 1.187296349579e+06 -2.687262003210e+07 1.516962543252e+10 6.580368740091e-06
-4.228027281170e-02 9.249377527836e-04 1.186752424444e+06 1.186967451073e+06 -2.473567471702e+07 2.166948088987e+10 1.022357012991e-05
-3.856221744764e-02 1.339389885646e-03 1.186328537378e+06 1.186509560613e+06 -2.276766907197e+07 2.977717855197e+10 1.487614004976e-05
-3.533297543442e-02 1.863019030353e-03 1.185763390546e+06 1.185912268051e+06 -2.105183000602e+07 3.951839326656e+10 2.050002958874e-05
-3.252482389733e-02 2.493736437049e-03 1.185050335902e+06 1.185171592289e+06 -1.956246559946e+07 5.073245726777e+10 2.707049389736e-05
-3.006340146421e-02 3.229541122270e-03 1.184186886160e+06 1.184286152839e+06 -1.826214490456e+07 6.329203331095e+10 3.451857696192e-05
-2.791235247642e-02 4.061555230566e-03 1.183179872798e+06 1.183260197537e+06 -1.712587875770e+07 7.697899159058e+10 4.269316953851e-05
-2.603805052718e-02 4.974280619054e-03 1.182045756741e+06 1.182115180256e+06 -1.613391533939e+07 9.149944330702e+10 5.142510290059e-05
-2.440151984320e-02 5.952040173639e-03 1.180803430712e+06 1.180860638007e+06 -1.526580882972e+07 1.065889913191e+11 6.057300781121e-05
-2.296417849549e-02 6.982362791375e-03 1.179469189444e+06 1.179523004754e+06 -1.450159179689e+07 1.220551705026e+11 7.003523792590e-05
-2.169119659092e-02 8.056629278147e-03 1.178055003158e+06 1.178099080042e+06 -1.382332273349e+07 1.377756167846e+11 7.974843345148e-05
-2.055294789514e-02 9.169690356063e-03 1.176568342873e+06 1.176611011705e+06 -1.321568740089e+07 1.536837747448e+11 8.967911758118e-05
-1.952521633551e-02 1.031907431539e-02 1.175013149718e+06 1.175047093805e+06 -1.266609969681e+07 1.697520186677e+11 9.981366977006e-05
-1.858871120508e-02 1.150408646435e-02 1.173390814091e+06 1.173422292720e+06 -1.216447616228e+07 1.859759048595e+11 1.101497215360e-04
-1.772828064697e-02 1.272502134883e-02 1.171701311392e+06 1.171726642134e+06 -1.170285162903e+07 2.023619895075e+11 1.206901312938e-04
-1.693206805001e-02 1.398266356210e-02 1.169943799222e+06 1.169965781272e+06 -1.127497130963e+07 2.189207206119e+11 1.314395601732e-04
-1.619074399215e-02 1.527803856746e-02 1.168117092089e+06 1.168136857623e+06 -1.087590874250e+07 2.356632656882e+11 1.424030554933e-04
-1.549687134309e-02 1.661228614166e-02 1.166219768517e+06 1.166236329386e+06 -1.050173101673e+07 2.526000736457e+11 1.535858417895e-04
-1.484441679783e-02 1.798662172003e-02 1.164250178638e+06 1.164267904874e+06 -1.014923802094e+07 2.697405918608e+11 1.649936289704e-04
-1.422839665579e-02 1.940239336974e-02 1.162206437731e+06 1.162221294114e+06 -9.815782879128e+06 2.870941568137e+11 1.766329886907e-04
-1.364463082314e-02 2.086117807913e-02 1.160086278040e+06 1.160104082150e+06 -9.499151549204e+06 3.046712019344e+11 1.885115709957e-04
-1.308957484429e-02 2.236483017600e-02 1.157887127958e+06 1.157902020790e+06 -9.197474425752e+06 3.224838200405e+11 2.006380920130e-04
-1.256020309247e-02 2.391544598604e-02 1.155605977160e+06 1.155624194901e+06 -8.909155901100e+06 3.405451438210e+11 2.130221274716e-04
-1.205392320176e-02 2.551527176309e-02 1.153239563582e+06 1.153254856037e+06 -8.632818818082e+06 3.588681960157e+11 2.256737983218e-04
-1.156850910091e-02 2.716661799053e-02 1.150784262236e+06 1.150802444961e+06 -8.367265140233e+06 3.774647542577e+11 2.386034420258e-04
-1.110204588612e-02 2.887185283293e-02 1.148236322121e+06 1.148252017349e+06 -8.111454205465e+06 3.963453805964e+11 2.518213469883e-04
