# time = 2.000259116430e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-7.203333571702e-02 3.838606674062e-05 1.141422414309e+06 1.166348902461e+06 -4.210292449862e+07 1.319225661825e+09 1.914908955928e-07
-6.713223084283e-02 4.907040843584e-05 1.133600839176e+06 1.157462109491e+06 -3.858393801565e+07 1.611598003271e+09 4.265859898561e-07
-6.245138595311e-02 8.463903102636e-05 1.141553230522e+06 1.158076294071e+06 -3.635867740978e+07 2.604475060077e+09 8.130397991653e-07
-5.800042003113e-02 1.372071245771e-04 1.144415320040e+06 1.164080475883e+06 -3.387151565425e+07 3.961807218696e+09 1.406773200254e-06
-5.379682952364e-02 2.160932919613e-04 1.145989354030e+06 1.154921225427e+06 -3.147850227631e+07 5.868079468882e+09 2.286380078705e-06
-4.985942805061e-02 3.278992992902e-04 1.147774076465e+06 1.161718379150e+06 -2.924373226059e+07 8.420204257384e+09 3.531381908748e-06
-4.620302354273e-02 4.826240646450e-04 1.148623692778e+06 1.152124340125e+06 -2.719597648544e+07 1.175448746535e+10 5.226202843972e-06
-4.283606946003e-02 6.901840835826e-04 1.149115626595e+06 1.158820734391e+06 -2.533190842793e+07 1.599953515989e+10 7.449578121741e-06
-3.976017639323e-02 9.597063875889e-04 1.149145806636e+06 1.162795673592e+06 -2.364492818673e+07 2.124490424716e+10 1.026429399877e-05
-3.697028402100e-02 1.298249302746e-03 1.148868573372e+06 1.158220520113e+06 -2.212489428438e+07 2.753823310930e+10 1.370779278447e-05
-3.445534198521e-02 1.709348471040e-03 1.148314754376e+06 1.165956852205e+06 -2.075920721816e+07 3.486160539782e+10 1.778533612429e-05
-3.219940972720e-02 2.193856466969e-03 1.147869414791e+06 1.160123552861e+06 -1.953766451315e+07 4.317999460116e+10 2.247206199858e-05
-3.018275082453e-02 2.749137296823e-03 1.146680680410e+06 1.158139382658e+06 -1.844737395994e+07 5.233984960696e+10 2.771782028737e-05
-2.838311557932e-02 3.368434957865e-03 1.145344519379e+06 1.159904206309e+06 -1.747451425375e+07 6.221593007925e+10 3.345368639663e-05
-2.677709438109e-02 4.043560819170e-03 1.144010776420e+06 1.151805023848e+06 -1.660551257303e+07 7.266424330143e+10 3.960357375260e-05
-2.534129791860e-02 4.768744539629e-03 1.142379892967e+06 1.149909858390e+06 -1.582849152420e+07 8.354874269545e+10 4.609833043731e-05
-2.405320903528e-02 5.536717287270e-03 1.141167308922e+06 1.142538112468e+06 -1.513108221664e+07 9.483561888181e+10 5.287923293530e-05
-2.289186727363e-02 6.343420668420e-03 1.139387235208e+06 1.141638229457e+06 -1.450199802599e+07 1.063378630544e+11 5.990427498561e-05
-2.183830246751e-02 7.185180586235e-03 1.137785191671e+06 1.133133298686e+06 -1.393259591139e+07 1.180995935343e+11 6.714779877753e-05
-2.087562740186e-02 8.059436660578e-03 1.136717759296e+06 1.133977067927e+06 -1.341260801632e+07 1.301612799694e+11 7.459940756091e-05
