# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-4.739536939390e-02 8.232504610524e-04 1.175889928935e+06 1.175390378261e+06 -2.688581213110e+07 1.931789167177e+10 5.075532149958e-06
-4.220601150229e-02 9.423686377013e-04 1.174665751384e+06 1.174888705528e+06 -2.412411714139e+07 2.166248861473e+10 9.498375102928e-06
-3.800871797953e-02 1.445895818018e-03 1.174141788954e+06 1.174307187147e+06 -2.225484411222e+07 3.128140433962e+10 1.529458702810e-05
-3.418854322700e-02 2.123420106799e-03 1.173364387826e+06 1.173510811402e+06 -2.031979874495e+07 4.348696398459e+10 2.298066565034e-05
-3.076937933182e-02 3.010981632275e-03 1.172299756986e+06 1.172405049524e+06 -1.853553500848e+07 5.863627855348e+10 3.262000066599e-05
-2.778575756247e-02 4.124185068613e-03 1.170916431800e+06 1.171006140523e+06 -1.696720387705e+07 7.670926017673e+10 4.414373448573e-05
-2.518101041625e-02 5.457790341120e-03 1.169203582232e+06 1.169258263188e+06 -1.559659612245e+07 9.738100612863e+10 5.747301257727e-05
-2.290126136219e-02 7.003092193570e-03 1.167161752034e+06 1.167214792760e+06 -1.439684583344e+07 1.203301586380e+11 7.240680350950e-05
-2.091609699816e-02 8.738740995813e-03 1.164812813692e+06 1.164837394860e+06 -1.334806986568e+07 1.451013314112e+11 8.863358371537e-05
-1.918750437737e-02 1.063739404572e-02 1.162190993400e+06 1.162223692963e+06 -1.243121495817e+07 1.712134464322e+11 1.058677568851e-04
-1.767579714735e-02 1.267462090454e-02 1.159329433911e+06 1.159340393779e+06 -1.162615806813e+07 1.982762100872e+11 1.238858457511e-04
-1.634432839575e-02 1.483158122821e-02 1.156254234624e+06 1.156278428167e+06 -1.091425202005e+07 2.260071074725e+11 1.425300009170e-04
-1.516168150734e-02 1.709585739401e-02 1.152984504226e+06 1.152993045538e+06 -1.027954451012e+07 2.542255896253e+11 1.616962683172e-04
-1.410211650097e-02 1.946000081955e-02 1.149532249871e+06 1.149554135655e+06 -9.708864999483e+06 2.828213938804e+11 1.813181697543e-04
-1.314504218455e-02 2.191964111056e-02 1.145905220684e+06 1.145917789109e+06 -9.191530532435e+06 3.117239872212e+11 2.013529001387e-04
-1.227410022248e-02 2.447242838895e-02 1.142107388860e+06 1.142131593592e+06 -8.718963456754e+06 3.408858160632e+11 2.217729786433e-04
-1.147621895377e-02 2.711771954893e-02 1.138140536534e+06 1.138160469882e+06 -8.284285885283e+06 3.702769660003e+11 2.425625349277e-04
-1.074081817441e-02 2.985688584586e-02 1.134003787792e+06 1.134030335352e+06 -7.881972290668e+06 3.998867671416e+11 2.637161827802e-04
-1.005921599092e-02 3.269361416652e-02 1.129693986862e+06 1.129717958110e+06 -7.507541966793e+06 4.297253537374e+11 2.852385182417e-04
-9.424210267318e-03 3.563335826291e-02 1.125205302299e+06 1.125232237560e+06 -7.157258864171e+06 4.598150573225e+11 3.071428530525e-04
-8.829787394872e-03 3.868241329158e-02 1.120529633052e+06 1.120555026773e+06 -6.827920065469e+06 4.901788449832e+11 3.294488940570e-04
-8.270919192311e-03 4.184777853159e-02 1.115656857725e+06 1.115682459004e+06 -6.516791113289e+06 5.208382156045e+11 3.521800468214e-04
