# time = 2.000175010089e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-6.329161004749e-02 9.755774847134e-05 1.146045980145e+06 1.156319787591e+06 -3.703154982526e+07 2.961446808770e+09 4.766164452437e-07
-5.849797277728e-02 1.206818509509e-04 1.139010912676e+06 1.164561138126e+06 -3.368725015041e+07 3.521050482929e+09 1.041267709291e-06
-5.393392685656e-02 2.054316293013e-04 1.145830840215e+06 1.158837491960e+06 -3.152784058737e+07 5.616971840272e+09 1.954158733037e-06
-4.961043168294e-02 3.314980963323e-04 1.147226185996e+06 1.161264787794e+06 -2.914102468766e+07 8.493129060697e+09 3.344446946976e-06
-4.554601616072e-02 5.176292688857e-04 1.147967229072e+06 1.153880692048e+06 -2.685777849771e+07 1.247265536473e+10 5.376201826443e-06
-4.176019986030e-02 7.786777614280e-04 1.148427591505e+06 1.147788330585e+06 -2.473953243045e+07 1.773164470433e+10 8.209991911735e-06
-3.826754944274e-02 1.135888932533e-03 1.148620133547e+06 1.151698950531e+06 -2.281071982778e+07 2.454068459510e+10 1.200671743566e-05
-3.507517033815e-02 1.609843503513e-03 1.148228015745e+06 1.152754287456e+06 -2.106770389298e+07 3.310507053612e+10 1.690496485217e-05
-3.218217852834e-02 2.216109998961e-03 1.147345716315e+06 1.158061983031e+06 -1.949880427232e+07 4.352461668627e+10 2.299359589285e-05
-2.958028872711e-02 2.963386800491e-03 1.146262462006e+06 1.154853814419e+06 -1.809221330549e+07 5.579663841046e+10 3.029435628338e-05
-2.725487009238e-02 3.853173055461e-03 1.144541430101e+06 1.153333554607e+06 -1.683705370087e+07 6.976376319599e+10 3.875993449318e-05
-2.518620723222e-02 4.880719765509e-03 1.143062563546e+06 1.150755931529e+06 -1.572238817946e+07 8.531466322063e+10 4.828705143231e-05
-2.335088977929e-02 6.038720370399e-03 1.140715214906e+06 1.146788891552e+06 -1.473324636623e+07 1.021202227944e+11 5.874225390673e-05
-2.172348604855e-02 7.313476662110e-03 1.138231518961e+06 1.137995860276e+06 -1.385679078523e+07 1.199861330001e+11 6.997914950825e-05
-2.027796123363e-02 8.687511911424e-03 1.136384532628e+06 1.132933505649e+06 -1.307768220178e+07 1.387733605965e+11 8.185698578054e-05
-1.898902389336e-02 1.014604354258e-02 1.134907868602e+06 1.141996173686e+06 -1.238030036178e+07 1.582587386935e+11 9.425897893240e-05
-1.783326580140e-02 1.167419004173e-02 1.132112276730e+06 1.139221082184e+06 -1.175286486909e+07 1.778499553661e+11 1.070964394191e-04
-1.678973461661e-02 1.326514625943e-02 1.129455079690e+06 1.139579330894e+06 -1.118453422681e+07 1.977599053787e+11 1.203152311697e-04
-1.584025471927e-02 1.492102489629e-02 1.127163354917e+06 1.133778959478e+06 -1.066655155221e+07 2.181028642315e+11 1.338957559837e-04
-1.496941397398e-02 1.665306467993e-02 1.124558577899e+06 1.126179346276e+06 -1.019360090433e+07 2.388206441661e+11 1.478517067888e-04
-1.416417273997e-02 1.846389931576e-02 1.121895089742e+06 1.124360061297e+06 -9.758231115368e+06 2.600023585506e+11 1.622155659339e-04
-1.341352819932e-02 2.033290340409e-02 1.119054507950e+06 1.125226416487e+06 -9.349779984527e+06 2.813384014742e+11 1.770136567477e-04
-1.270859204696e-02 2.229417232152e-02 1.115592092515e+06 1.116585535061e+06 -8.963214330220e+06 3.030182570272e+11 1.922982464519e-04
-1.204235464923e-02 2.432388264786e-02 1.112712035577e+06 1.112140314088e+06 -8.597381624285e+06 3.252492460491e+11 2.081008059663e-04
-1.140924689363e-02 2.643986206145e-02 1.110575542212e+06 1.113186924139e+06 -8.247479894630e+06 3.483657217979e+11 2.244574405260e-04
-1.080508385548e-02 2.868364067201e-02 1.107129075820e+06 1.108096364815e+06 -7.913711782329e+06 3.717904529501e+11 2.414194806759e-04
-1.022654903851e-02 3.106308305650e-02 1.103684522840e+06 1.102858522397e+06 -7.594958568328e+06 3.961847838121e+11 2.590363317773e-04
-9.670820970542e-03 3.355609949658e-02 1.100751974894e+06 1.095760244797e+06 -7.286385878628e+06 4.215821093666e+11 2.773404543191e-04
-9.135592531859e-03 3.616344593536e-02 1.096876334904e+06 1.095710476886e+06 -6.986786678932e+06 4.470744475031e+11 2.963570561767e-04
-8.619117994470e-03 3.891848263898e-02 1.092155773384e+06 1.085724546657e+06 -6.698451494011e+06 4.729388152409e+11 3.161214727930e-04
-8.119909736638e-03 4.183586689505e-02 1.087615306419e+06 1.086637722104e+06 -6.419855204029e+06 4.999286084041e+11 3.366721576907e-04
-7.636674630774e-03 4.493007988594e-02 1.083202262248e+06 1.084834063279e+06 -6.146347107320e+06 5.281202564020e+11 3.580464669814e-04
-7.168462094214e-03 4.823267291239e-02 1.078380906714e+06 1.077873997201e+06 -5.881050123420e+06 5.573456238652e+11 3.802908801841e-04
-6.714295178858e-03 5.173357919928e-02 1.074763486131e+06 1.078681499654e+06 -5.626916645315e+06 5.887901905924e+11 4.034546062205e-04
-6.272961477598e-03 5.539769485506e-02 1.069546351192e+06 1.074741887933e+06 -5.374737996270e+06 6.196376259675e+11 4.275728356821e-04
